bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,69,Reset task queue stats before rset scan,earthling-amzn,2021-09-16,2021-09-16,integrated,Amazon,US,0,kdnilsen
,70,Track promotion rate into old generation,earthling-amzn,2021-09-16,2021-09-20,integrated,Amazon,US,4,"kdnilsen,rkennke"
,71,Fix loop error when reconstructing remembered set for humongous objects,earthling-amzn,2021-09-17,2021-09-17,integrated,Amazon,US,0,rkennke
,73,Fix failing jtreg tests,earthling-amzn,2021-09-22,2021-09-22,integrated,Amazon,US,0,kdnilsen
,74,Also register filler object for retired gclabs,earthling-amzn,2021-09-28,2021-09-29,integrated,Amazon,US,1,"kdnilsen,rkennke"
,75,Full region promotion,kdnilsen,2021-09-29,2021-10-04,integrated,Amazon,US,5,earthling-amzn
,76,Decouple generational heuristics,earthling-amzn,2021-09-29,2021-10-05,integrated,Amazon,US,6,kdnilsen
,77,Only register retired plab waste in old regions,earthling-amzn,2021-09-29,2021-09-30,integrated,Amazon,US,1,kdnilsen
,78,Coalesce and fill unmarked objects during global degenerated cycle,earthling-amzn,2021-10-04,2021-10-04,integrated,Amazon,US,0,kdnilsen
,80,Age cycle periodically,kdnilsen,2021-10-05,2021-10-06,integrated,Amazon,US,1,earthling-amzn
,81,Improve handling of promotion and old generation evacuation failures,earthling-amzn,2021-10-06,2021-10-06,integrated,Amazon,US,0,kdnilsen
,82,Add an option to stream region sampling data to a file,earthling-amzn,2021-10-07,2021-10-07,integrated,Amazon,US,0,rkennke
,83,Inline usage of pointer_delta,earthling-amzn,2021-10-07,2021-10-07,integrated,Amazon,US,0,rkennke
,84,Update heap usage tallies for generations after full GC compaction,earthling-amzn,2021-10-11,2021-10-12,integrated,Amazon,US,1,rkennke
,85,Remove vestigial command line options and removed unused code,earthling-amzn,2021-10-11,2021-10-12,integrated,Amazon,US,1,rkennke
,86,Register filler objects when non-lab allocations are backed out,earthling-amzn,2021-10-11,2021-10-11,integrated,Amazon,US,0,kdnilsen
