bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,changed_files,additions,deletions
8244796,46,8244796: [lworld] Javac does not compile test/hotspot/jtreg/runtime/valhalla/valuetypes/UnsafeTest.java anymore,sadayapalam,2020-05-14,2020-05-14,integrated,Oracle,,0,6,89,6
8244934,47,8244934: [lworld] Copyright header format,MrSimms,2020-05-14,2020-05-14,integrated,Oracle,,0,17,31,34
8244982,48,8244982: [lworld] Javac does not compile test/jdk/valhalla/valuetypes/StreamTest.java anymore,sadayapalam,2020-05-15,2020-05-15,integrated,Oracle,,0,4,85,3
8244563,49,8244563: [lworld] Javac does not allow jlO to be express superclass of inline types.,sadayapalam,2020-05-15,2020-05-15,integrated,Oracle,,0,6,8,11
8242612,50,8242612: [lworld] Javac should not expressly encode the new super interface types in class files,sadayapalam,2020-05-18,2020-05-18,integrated,Oracle,,0,75,128,258
8245216,51,8245216: [lworld] The JVM should inject the IdentityObject interface to types which need it,fparain,2020-05-18,2020-05-21,integrated,Oracle,,3,28,345,84
8245019,52,8245019: [lworld] SIGSEGV in BufferBlob::buffered value type due to instruction memory corruption,TobiHartmann,2020-05-20,2020-05-20,integrated,Oracle,DE,0,2,5,5
8245584,53,8245584: [lworld] LW3 core reflection update,mlchung,2020-05-21,2020-05-26,integrated,Oracle,US,5,34,240,451
8244931,54,8244931: [lworld] Decommission arrayStorageProperties from runtime null free and flat array tests,MrSimms,2020-05-25,2020-05-26,integrated,Oracle,,1,9,76,29
8245729,55,8245729: [lworld] Adjust JIT code to reference projection changes,TobiHartmann,2020-05-26,2020-05-26,integrated,Oracle,DE,0,47,420,767
8245809,56,8245809: [lworld] Remove the last traces of arrayStorageProperties,MrSimms,2020-05-26,2020-05-27,integrated,Oracle,,1,15,16,298
8245646,57,8245646: [lworld] LW3 Reduce impact of IdentityObject on metaspace,fparain,2020-05-26,2020-05-27,integrated,Oracle,,1,4,35,2
8245953,59,8245953: [lworld] Remove array storage property bits clearing from JIT code,TobiHartmann,2020-05-27,2020-05-27,integrated,Oracle,DE,0,13,29,73
8246014,60,8246014: [lworld] [lw3] serviceability/sa/ClhsdbDumpclass.java is failing for a while,fparain,2020-05-27,2020-05-27,integrated,Oracle,,0,2,45,39
