bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8302065,73,8302065: [Lilliput] Cleanups and touch-ups,rkennke,2023-02-08,2023-02-10,integrated,Red Hat,CH,2,shipilev
8302209,74,8302209: [Lilliput] Optimize fix-anon monitor owner path,rkennke,2023-02-10,2023-03-08,integrated,Red Hat,CH,26,tstuefe
,75,Merge jdk:jdk-21+12,rkennke,2023-03-02,2023-03-06,integrated,Red Hat,CH,4,tstuefe
8303769,76,8303769: [Lilliput] Fix interpreter asymmetric fast-locking,rkennke,2023-03-07,2023-03-09,integrated,Red Hat,CH,2,tstuefe
8303813,78,8303813: [Lilliput] (AArch64) Use tbz instead of tst and br in load_klass(),rkennke,2023-03-08,2023-03-09,integrated,Red Hat,CH,1,"phohensee,tstuefe"
8303823,80,JDK-8303823: [Lilliput] Inline initial LockStack stack,tstuefe,2023-03-08,2023-03-08,integrated,Red Hat,DE,0,rkennke
8304690,82,8304690: [Lilliput] Increase size of C2HandleAnonOMOwnerStub on x86,rkennke,2023-03-21,2023-03-21,integrated,Red Hat,CH,0,tstuefe
8305926,84,8305926: [Lilliput] Revert some ZGC changes,rkennke,2023-04-12,2023-04-12,integrated,Red Hat,CH,0,shipilev
8306122,85,8306122: [Lilliput] Refactor full GC forwarding,rkennke,2023-04-17,2023-04-18,integrated,Red Hat,CH,1,shipilev
8307002,86,JDK-8307002: [Lilliput] [Metaspace] Make use of Klass alignment gaps,tstuefe,2023-04-26,2023-05-05,integrated,Red Hat,DE,9,rkennke
,87,Merge jdk:jdk-21+20,tstuefe,2023-04-27,2023-05-02,integrated|clean,Red Hat,DE,5,rkennke
8307392,88,8307392: [Lilliput] Revert deflation of dead object's monitors,rkennke,2023-05-03,2023-05-04,integrated,Red Hat,CH,1,shipilev
8307737,92,JDK-8307737: [Lilliput] Reduce number of loads used for Klass decoding in static code,tstuefe,2023-05-09,2023-05-11,integrated,Red Hat,DE,2,rkennke
8307991,93,8307991: [Lilliput] Use narrow i-hash only when +UseCompactObjectHeaders,rkennke,2023-05-12,2023-05-12,integrated,Red Hat,CH,0,shipilev
,94,Merge jdk:jdk-21+22,rkennke,2023-05-15,2023-05-15,integrated,Red Hat,CH,0,tstuefe
8308900,95,8308900: [Lilliput] Cherry-pick C2 prototype header improvements,shipilev,2023-05-25,2023-05-26,integrated,Amazon,US,1,rkennke
