bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8334041,1,8334041: Bump version numbers for 23.0.1,robm-openjdk,2024-06-11,2024-06-11,integrated,,,0,"irisclark,kevinrushforth"
8333652,2,8333652: RISC-V: compiler/vectorapi/VectorGatherMaskFoldingTest.java fails when using RVV,zifeihan,2024-06-12,2024-06-29,integrated|backport|clean,Independent,,17,
8330702,5,8330702: Update failure handler to don't generate Error message if cores actions are empty,ghmaimon,2024-06-24,2024-08-05,integrated|backport|clean,,,42,"coffeys,lmesnik"
6967482,6,6967482: TAB-key does not work in JTables after selecting details-view in JFileChooser,aivanov-jdk,2024-06-24,2024-06-28,integrated|backport|clean,Oracle,RU,4,
,7,Merge jdk:jdk23,coffeys,2024-06-25,2024-06-25,integrated|clean,Oracle,,0,
8333716,9,8333716: Shenandoah: Check for disarmed method before taking the nmethod lock,neethu-prasad,2024-06-25,2024-07-05,integrated|backport|clean,,,10,shipilev
8332524,10,"8332524: Instead of printing ""TLSv1.3,"" it is showing ""TLS13""",nibjen,2024-06-26,2024-06-27,integrated|backport|clean,,,1,
8332113,11,8332113: Update nsk.share.Log to be always verbose,ghmaimon,2024-06-26,2024-08-12,integrated|backport|clean,,,47,"coffeys,lmesnik"
,12, Merge jdk:jdk23,coffeys,2024-07-01,2024-07-01,integrated|clean,Oracle,,0,
8334653,13,8334653: ISO 4217 Amendment 177 Update,weibxiao,2024-07-01,2024-07-08,integrated|backport|clean,,,7,naotoj
8335536,14,8335536: Fix assertion failure in IdealGraphPrinter when append is true,MaxXSoft,2024-07-05,2024-07-09,integrated|backport|clean,Alibaba,CN,4,
8335775,15,8335775: Remove extraneous 's' in comment of rawmonitor.cpp test file,gnu-andrew,2024-07-05,2024-07-11,integrated|backport|clean,Red Hat,,6,
8299813,16,8299813: java/nio/channels/DatagramChannel/Disconnect.java fails with jtreg test timeout due to lost datagram,Shivangi-aa,2024-07-06,2024-07-11,integrated|backport|clean|auto,,,5,
8334123,17,8334123: log the opening of Type 1 fonts,MBaesken,2024-07-08,2024-07-16,integrated|backport|clean,SAP,DE,8,
,19,Merge jdk:jdk23,robm-openjdk,2024-07-10,2024-07-10,integrated|clean,,,0,
8336301,21,8336301: test/jdk/java/nio/channels/AsyncCloseAndInterrupt.java leaves around a FIFO file upon test completion,Shivangi-aa,2024-07-14,2024-07-17,integrated|backport|clean|auto,,,3,
8333887,22,8333887: ubsan: unsafe.cpp:247:13: runtime error: store to null pointer of type 'volatile int',luwang1103,2024-07-15,2024-07-17,integrated|backport|clean,,,2,
8332818,23,8332818: ubsan: archiveHeapLoader.cpp:70:27: runtime error: applying non-zero offset 18446744073707454464 to null pointer,luwang1103,2024-07-15,2024-07-17,integrated|backport|clean,,,2,
8325525,24,8325525: Create jtreg test case for JDK-8325203,Vanitha-bp,2024-07-15,2024-07-17,integrated|backport|clean,,,2,
8334057,25,8334057: JLinkReproducibleTest.java support receive test.tool.vm.opts,sendaoYan,2024-07-16,2024-09-25,integrated|backport|clean,Alibaba,CN,71,
8334239,26,8334239: Introduce macro for ubsan method/function exclusions,luwang1103,2024-07-18,2024-07-22,integrated|backport|clean,,,4,
8331411,27,8331411: Shenandoah: Reconsider spinning duration in ShenandoahLock,pengxiaolong,2024-07-18,2024-07-19,integrated|backport|clean,Amazon,US,1,shipilev
8333361,28,"8333361: ubsan,test : libHeapMonitorTest.cpp:518:9: runtime error: null pointer passed as argument 2, which is declared to never be null",MBaesken,2024-07-22,2024-07-25,integrated|backport|clean,SAP,DE,3,
8335493,29,8335493: check_gc_overhead_limit should reset SoftRefPolicy::_should_clear_all_soft_refs,mmyxym,2024-07-22,2024-07-29,integrated|backport|clean,Alibaba,CN,7,
8335283,31,8335283: Build failure due to 'no_sanitize' attribute directive ignored,luwang1103,2024-07-23,2024-07-29,integrated|backport|clean,,,6,shipilev
8337024,32,8337024: Bump version numbers for 23.0.2,robm-openjdk,2024-07-23,2024-07-23,integrated,,,0,coffeys
8334769,33,8334769: Shenandoah: Move CodeCache_lock close to its use in ShenandoahConcurrentNMethodIterator,shipilev,2024-07-24,2024-07-25,integrated|backport|clean,Amazon,US,1,
8334564,34,8334564: VM startup: fatal error: FLAG_SET_ERGO cannot be used to set an invalid value for NonNMethodCodeHeapSize,MBaesken,2024-07-25,2024-07-31,integrated|backport|clean,SAP,DE,6,
8332903,35,"8332903: ubsan: opto/output.cpp:1002:18: runtime error: load of value 171, which is not a valid value for type 'bool'",MBaesken,2024-07-25,2024-07-29,integrated|backport|clean,SAP,DE,4,
8321509,36,8321509: False positive in get_trampoline fast path causes crash,lutkerd,2024-07-25,2024-07-31,integrated|backport|clean,,,6,
8333277,37,8333277: ubsan: mlib_ImageScanPoly.c:292:43: runtime error: division by zero,MBaesken,2024-07-26,2024-07-29,integrated|backport|clean,SAP,DE,3,
8333730,38,"8333730: ubsan: FieldIndices/libFieldIndicesTest.cpp:276:11: runtime error: null pointer passed as argument 2, which is declared to never be null",MBaesken,2024-07-26,2024-07-29,integrated|backport|clean,SAP,DE,3,
8332699,39,8332699: ubsan: jfrEventSetting.inline.hpp:31:43: runtime error: index 163 out of bounds for type 'jfrNativeEventSetting [162]',MBaesken,2024-07-26,2024-07-31,integrated|backport|clean,SAP,DE,5,
8335237,41,8335237: ubsan: vtableStubs.hpp  is_vtable_stub exclude from ubsan checks,MBaesken,2024-07-29,2024-07-31,integrated|backport|clean,SAP,DE,2,
8333363,42,8333363: ubsan: instanceKlass.cpp: runtime error: member call on null pointer of type 'struct AnnotationArray',MBaesken,2024-07-29,2024-07-31,integrated|backport|clean,SAP,DE,2,
,43,Merge jdk:jdk23,robm-openjdk,2024-07-29,2024-07-29,integrated|clean,,,0,
8336692,44,8336692: Redo fix for JDK-8284620,vnkozlov,2024-07-29,2024-07-31,integrated|backport|clean,Oracle,US,2,
8334482,45,8334482: Shenandoah: Deadlock when safepoint is pending during nmethods iteration,shipilev,2024-07-30,2024-07-31,integrated|backport|clean,Amazon,US,1,
8333754,46,8333754: Add a Test against ECDSA and ECDH NIST Test vector,rgangadhar,2024-07-30,2024-08-07,integrated|backport|clean,,,8,
8335904,47,8335904: Fix invalid comment in ShenandoahLock,pengxiaolong,2024-07-30,2024-07-31,integrated|backport|clean,Amazon,US,1,
8328723,48,8328723: IP Address error when client enables HTTPS endpoint check on server socket,pkumaraswamy,2024-07-31,2024-08-05,integrated|backport|clean,,,5,
8334618,49,8334618: ubsan: support setting additional ubsan check options,MBaesken,2024-07-31,2024-08-09,integrated|backport|clean,SAP,DE,9,
8028127,50,8028127: Regtest java/security/Security/SynchronizedAccess.java is incorrect,Shivangi-aa,2024-08-01,2024-08-12,integrated|backport|clean|auto,,,11,
8336315,51,8336315: tools/jpackage/windows/WinChildProcessTest.java Failed: Check is calculator process is alive,Vanitha-bp,2024-08-01,2024-08-12,integrated|backport|clean,,,11,
8334166,52,8334166: Enable binary check,robm-openjdk,2024-08-01,2024-08-01,integrated|backport|clean,,,0,"shipilev,irisclark"
8337283,53,8337283: configure.log is truncated when build dir is on different filesystem,shipilev,2024-08-05,2024-08-12,integrated|backport|clean,Amazon,US,7,
8336342,54,8336342: Fix known X11 library locations in sysroot,shipilev,2024-08-05,2024-08-12,integrated|backport|clean,Amazon,US,7,
8336343,55,8336343: Add more known sysroot library locations for ALSA,shipilev,2024-08-05,2024-08-12,integrated|backport|clean,Amazon,US,7,
8337819,56,8337819: Update GHA JDKs to 22.0.2,RealCLanger,2024-08-06,2024-08-08,integrated|backport|clean,SAP,DE,2,
8335397,57,8335397: Improve reliability of TestRecursiveMonitorChurn.java,ghmaimon,2024-08-06,2024-09-02,integrated|backport,,,27,shipilev
