bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,545,8163: Fix update-site not working,RoiSoleil,2024-01-18,2024-01-23,integrated,,,5,"bric3,thegreystone"
,546,8155 Upgrade to Eclipse 2023-12,viragpurnam,2024-01-18,2024-01-30,integrated,,,12,aptmac
,547,8167: [Accessibility]: 'Click here to start using JDK Mission Control' button does not have any function to open JDK mission control,Suchitainf,2024-01-25,2024-01-29,integrated,Oracle,,4,aptmac
,548,7455: Add support for jolokia JMX service connection,skarsaune,2024-01-25,2024-07-02,integrated,,,159,aptmac
,549,8172: Update to release splash,thegreystone,2024-02-01,2024-02-01,integrated,Datadog,,0,aptmac
,550,8173: 2023-12 target platform needs update to take org.eclipse.ui.themes,viragpurnam,2024-02-01,2024-02-01,integrated,,,0,aptmac
,552,8174: Check license year script may check files not changed by a PR,aptmac,2024-02-12,2024-02-26,integrated,IBM,,14,"bric3,RealCLanger"
,553,8175: Flightrecorder UI-tests are failing,aptmac,2024-02-14,2024-02-20,integrated,IBM,,6,"thegreystone,viragpurnam"
,554,8204 : Keyboard traps in flamegraph view for search option,viragpurnam,2024-02-23,2024-03-04,integrated,,,10,aptmac
,555,8202: JMC 9 release notes,thegreystone,2024-03-11,2024-03-13,integrated,Datadog,,2,aptmac
,556,8210: Update devguide to mention Protocol Rules for Eclipse 2023-06 onward,aptmac,2024-03-12,2024-03-14,integrated,IBM,,2,thegreystone
,558,8212: Update trunk to 9.1.0,thegreystone,2024-03-25,2024-03-26,integrated,Datadog,,1,aptmac
,561,7948: Update ASM version in the Agent,Josh-Matsuoka,2024-05-01,2024-05-02,integrated,,,1,"aptmac,RealCLanger"
,562,8219: Missing coverage in application reports,aptmac,2024-05-03,2024-11-04,integrated,IBM,,185,"thegreystone,RealCLanger"
,563,8220: Make LocalJVMToolkit reflective,thegreystone,2024-05-08,2024-05-14,integrated,Datadog,,6,aptmac
,564,7263: JMC displaying long value in scientific notation,Suchitainf,2024-05-25,2024-05-28,integrated,Oracle,,3,"thegreystone,viragpurnam"
,565,7506: Incorrect numeric formatting of PID by JMC,Suchitainf,2024-05-25,2024-06-14,integrated,Oracle,,20,"bric3,viragpurnam,thegreystone"
,566,8215: Update platform to 2024-03,thegreystone,2024-05-28,2024-06-13,integrated,Datadog,,16,aptmac
,567,8229: Remove unsupported platforms,thegreystone,2024-06-21,2024-06-25,integrated,Datadog,,4,aptmac
,568,8231: Add version to build tarball names,aptmac,2024-06-26,2024-06-27,integrated,IBM,,1,RealCLanger
,569,8223: Copyright script is failing,aptmac,2024-06-26,2024-06-27,integrated,IBM,,1,RealCLanger
,570,8236: Add support for Jolokia discovery,skarsaune,2024-07-02,2024-08-03,integrated,,,32,aptmac
,571,8240: Upgrade HdrHistogram to 2.2.2,viragpurnam,2024-07-09,2024-07-10,integrated,,,1,thegreystone
,572,8244: Turn off scientific notation in JMC for attributes with long data type,Suchitainf,2024-07-28,2024-08-24,integrated,Oracle,,27,"bric3,thegreystone"
,574,8245: Improve XML processing,viragpurnam,2024-07-30,2024-08-07,integrated,,,8,aptmac
,575,8114: Verify fixed uitests in ControlRecordingsTest on jdk 17,aptmac,2024-07-30,2024-08-26,integrated,IBM,,27,"thegreystone,viragpurnam"
,578,8238: Update to Eclipse 2024-06,thegreystone,2024-08-21,2024-09-07,integrated,Datadog,,17,"viragpurnam,aptmac"
,579,8249: Add support for the new allocation profiler in rules,carterkozak,2024-08-22,2024-09-25,integrated,,,34,thegreystone
,580,8248: [Accessibility] Low Contrast in High Contrast mode on Stacktrace View,Suchitainf,2024-08-26,2024-09-16,integrated,Oracle,,21,"bric3,aptmac"
,581,7490: Trigger action does not return error message on failure.,viragpurnam,2024-09-03,2024-09-17,integrated,,,14,thegreystone
,582,8250: Should show Resident Set Size,thegreystone,2024-09-05,2024-09-25,integrated,Datadog,,20,aptmac
,583,8251: Add missing hook in plugin from Jolokia discovery,skarsaune,2024-09-05,2024-09-06,integrated,,,1,aptmac
,584,8254: Allow primitive types in converters,schmelter-sap,2024-09-09,2024-09-11,integrated,,,2,thegreystone
,585,8255: Update toolchain and base images to support building with Java21 in docker,skarsaune,2024-09-10,2024-09-17,integrated,,,7,aptmac
,587,8252: JMC localization does not work as expected for Chinese locale ,viragpurnam,2024-09-11,2024-09-17,integrated,,,6,"thegreystone,aptmac"
,589,8257: Stacktrace Percentage Column Tooltip throwing Exception,Suchitainf,2024-09-15,2024-09-17,integrated,Oracle,,2,aptmac
,590,8259: Several JFR pages throwing exceptions after JMC-8244,Suchitainf,2024-09-26,2024-09-26,integrated,Oracle,,0,aptmac
,591,8266: Upgrade third party libraries for JMC 9.1.0,viragpurnam,2024-09-26,2024-09-27,integrated,,,1,aptmac
,592,8260: Warnings and errors logged during XML processing,viragpurnam,2024-10-11,2024-10-14,integrated|hacktoberfest-accepted,,,3,thegreystone
,593,6683: Mouse over for Event Thread should show the various thread IDs,viragpurnam,2024-10-18,2024-11-05,integrated|hacktoberfest-accepted,,,18,"thegreystone,aptmac"
,594,8276: UI tests failing on Windows,thegreystone,2024-10-21,2024-10-27,integrated|hacktoberfest-accepted,Datadog,,6,"viragpurnam,aptmac"
,595,8277: List ARM first ,thegreystone,2024-10-29,2024-10-31,integrated|hacktoberfest-accepted,Datadog,,2,aptmac
,596,6626: The halt rule result should have a table of the VM operations,Suchitainf,2024-10-30,2024-11-04,integrated|hacktoberfest-accepted,Oracle,,5,aptmac
,597,8284: Fix Jolokia discovery issues,skarsaune,2024-10-30,2024-11-07,integrated|hacktoberfest-accepted,,,8,aptmac
,598,8282: Spotbugs errors,thegreystone,2024-10-30,2024-10-31,integrated|hacktoberfest-accepted,Datadog,,1,aptmac
,599,8285: Documentation fix,thegreystone,2024-10-31,2024-10-31,integrated|hacktoberfest-accepted,Datadog,,0,aptmac
,600,8274: Add thread counts to the Java Application page,thegreystone,2024-11-01,2024-11-05,integrated|hacktoberfest-accepted,Datadog,,4,aptmac
,601,8286: Fix broken launcher,thegreystone,2024-11-01,2024-11-05,integrated|hacktoberfest-accepted,Datadog,,4,aptmac
,602,8287: Fix the JMX protocol extenders,aptmac,2024-11-01,2024-11-04,integrated,IBM,,3,thegreystone
,604,8288: Clean up warnings,thegreystone,2024-11-04,2024-11-04,integrated,Datadog,,0,aptmac
,605,"8278: Update COPYRIGHT, LICENSE.txt and THIRDPARTYREADME.txt files",viragpurnam,2024-11-05,2024-11-05,integrated,,,0,thegreystone
,606,8290: Handle resources warnings,thegreystone,2024-11-05,2024-11-06,integrated,Datadog,,1,aptmac
,607,6607: Better descriptions for the code cache rule,Suchitainf,2024-11-08,2024-11-11,integrated,Oracle,,3,thegreystone
,608,8291: JVM PID is shown as N/A however the value is present in JFR,Suchitainf,2024-11-12,2024-11-12,integrated,Oracle,,0,aptmac
,609,"8294: Missing plugins in JMC-Eclipse-plug-ins, JMC-Eclipse and JMC-RCP-plug-ins launchers",viragpurnam,2024-11-15,2024-11-17,integrated,,,2,thegreystone
,611,8299: JDP Tests in core fail if multicast is not possible,skarsaune,2024-11-24,2025-01-11,integrated,,,48,thegreystone
,612,8298: Update to Eclipse 2024-09,viragpurnam,2024-11-25,2024-12-05,integrated,,,10,thegreystone
,613,8296: No Java process should ever be PID 1,ky0n,2024-11-30,2024-12-11,integrated|hack-commit-push,,,11,thegreystone
,614,8295: Shutdown event type id is not properly translated for Oracle JDK 8,thegreystone,2024-12-03,2024-12-09,integrated,Datadog,,6,viragpurnam
,615,8300: Update to Eclipse 2024-12,viragpurnam,2024-12-09,2024-12-10,integrated,,,1,thegreystone
,616,8303: NPE at org.openjdk.jmc.flightrecorder.rules.report.JfrRulesReport.addReport,Suchitainf,2024-12-12,2024-12-19,integrated,Oracle,,7,thegreystone
,617,8306: Missing plugins while installing JMC 9.1.0 in Eclipse IDE,viragpurnam,2024-12-13,2024-12-16,integrated,,,3,thegreystone
,618,8310: Fix connections over RMI and Jolokia - undo rjmx change for 8287,skarsaune,2024-12-28,2025-01-07,integrated,,,10,aptmac
,620,8313: 9.1.0 release splash,thegreystone,2025-01-11,2025-01-12,integrated,Datadog,,1,aptmac
,621,8314: Update some important copyrights,thegreystone,2025-01-11,2025-01-15,integrated,Datadog,,4,"viragpurnam,aptmac"
,622,8315: Temporary EA splash for JMC 10,thegreystone,2025-01-12,2025-01-12,integrated,Datadog,,0,aptmac
,623,8316: Update to 10,thegreystone,2025-01-12,2025-01-15,integrated,Datadog,,3,aptmac
,626,8349: JMC Copyright year and some http links require update,Suchitainf,2025-01-29,2025-01-31,integrated,Oracle,,2,viragpurnam
,628,8356: Cherry pick copyright changes,thegreystone,2025-02-07,2025-02-07,integrated,Datadog,,0,viragpurnam
,629,8358: Create release notes for JMC 9.1.0,thegreystone,2025-02-11,2025-03-26,integrated,Datadog,,43,viragpurnam
,630,8364: Fix JULONG handling to set stackdepth value,RoiSoleil,2025-03-03,2025-03-18,integrated,,,15,aptmac
,631,8366: Jolokia - Display warning when enabling Jolokia discovery about only using the discovery feature in a trusted environment.,skarsaune,2025-03-13,2025-04-07,integrated,,,25,"thegreystone,viragpurnam"
,633,8297: Update OptionsCheckRule for new JDK releases,ky0n,2025-03-26,2025-03-29,integrated,,,3,thegreystone
,634,8372: Add UnitLookup.TIMESPAN to AttributeSelection to be able to use the attribute in FlameGraph for IO,RoiSoleil,2025-03-27,2025-04-07,integrated,,,11,thegreystone
,635,8373: Fix tooltip on Flamegraph not showing after switching to Stack Trace view,RoiSoleil,2025-03-28,2025-04-08,integrated,,,11,bric3
,636,8370: HDR Histogram View,thegreystone,2025-04-01,2025-04-09,integrated,Datadog,,8,aptmac
,637,8378: Update version in jcheck conf file,viragpurnam,2025-04-03,2025-04-06,integrated,,,3,thegreystone
,638,8382: Update to Eclipse 2025-03,viragpurnam,2025-04-15,2025-04-17,integrated,,,2,thegreystone
,639,8380: Support dark mode in graphs,thegreystone,2025-04-17,2025-04-22,integrated,Datadog,,5,aptmac
,641,8385: Upgrade hashing algorithm,Suchitainf,2025-04-21,2025-05-21,integrated,Oracle,,30,thegreystone
,642,8289: Remove security manager related code,thegreystone,2025-04-23,2025-04-24,integrated,Datadog,,1,aptmac
,643,8390: Wrong target platform name,thegreystone,2025-04-24,2025-04-24,integrated,Datadog,,0,aptmac
,644,8391: Dark theme support for dials,thegreystone,2025-04-24,2025-04-25,integrated,Datadog,,1,bric3
,646,8396: OptionsCheckRule has doesn't recognize HeapDumpOnOutOfMemoryError,ivoanjo,2025-05-01,2025-07-02,integrated,,,62,"thegreystone,Gunde"
,647,8392: Memory view on MacOS keeps reverting to aggregate trace list,thegreystone,2025-05-01,2025-05-13,integrated,Datadog,,12,Gunde
,648,8395: Thread ID is not properly visible on hover for Mac,viragpurnam,2025-05-06,2025-05-08,integrated,,,2,thegreystone
,649,8394: Views should not be named view,thegreystone,2025-05-19,2025-05-21,integrated,Datadog,,2,Gunde
,650,8399: IOPageTest fails,thegreystone,2025-05-19,2025-05-22,integrated,Datadog,,3,Gunde
,651,8401: Remove weak cipher usages in JMC Secure Store,Suchitainf,2025-05-25,2025-05-29,integrated,Oracle,,4,thegreystone
,652,8400: Add more show options for JMX Console graphs,thegreystone,2025-05-31,2025-07-21,integrated,Datadog,,51,aptmac
,653,8389: JMC must stop using finalizers,thegreystone,2025-06-07,2025-06-26,integrated,Datadog,,19,aptmac
,654,5705: Explain metaspace in rule results,Suchitainf,2025-06-08,2025-06-20,integrated,Oracle,,12,Gunde
,655,8404: Update to Eclipse 2025-06,viragpurnam,2025-06-24,2025-06-25,integrated,,,1,aptmac
,656,8404: Update to Eclipse 2025-06,viragpurnam,2025-06-24,2025-06-25,integrated,,,1,aptmac
,657,8371: Stacktrace should hide hidden frames,thegreystone,2025-06-28,2025-07-12,integrated,Datadog,,14,Suchitainf
,658,8409: Create 9.1.1 release notes,thegreystone,2025-07-03,2025-07-04,integrated,Datadog,,1,viragpurnam
,659,8410: Update version for 9.1.1 release,viragpurnam,2025-07-04,2025-07-04,integrated,,,0,thegreystone
,661,8415: Spotless error in the main branch,thegreystone,2025-07-07,2025-07-08,integrated,Datadog,,1,aptmac
,662,8406: Chinese Rule strings are out of date,youngledo,2025-07-08,2025-08-27,integrated,,,50,aptmac
,663,8416: Better Eclipse classpath entry defaults,thegreystone,2025-07-09,2025-07-18,integrated,Datadog,,9,viragpurnam
,664,6203: Add ZGC allocation stall rule,Suchitainf,2025-07-09,2025-09-06,integrated,Oracle,,59,thegreystone
,665,"8365: Jolokia - Additional support for security mechanisms related to SSL / authentication, discovery restrictions",skarsaune,2025-07-12,2025-10-14,integrated,,,94,aptmac
,666,6515: Show virtualization information in JMC,Suchitainf,2025-07-17,2025-07-17,integrated,Oracle,,0,"thegreystone,aptmac"
