bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,75,Remove code trigger register during checkpointRestore,j0826,2023-05-25,2023-05-25,integrated,,,0,"rvansa,AntonKozlov"
,76,Do not register MethodHandleNatives,AntonKozlov,2023-05-25,2023-05-26,integrated,Azul,,1,rvansa
,79,Move more FD tracking to java layer,AntonKozlov,2023-06-07,2023-06-13,integrated,Azul,,6,rvansa
,80,Do not add generic native checkpoint error in dry runs,rvansa,2023-06-12,2023-06-12,integrated,Azul,,0,AntonKozlov
,81,Fixing VMOptionsTest.java,wkia,2023-06-13,2023-06-15,integrated,Azul,,2,rvansa
,82,Win/Mac build for CRaC,wkia,2023-06-15,2023-07-10,integrated,Azul,,25,AntonKozlov
,83,Fix recursiveCheckpoint/Test passing extra comma,rvansa,2023-06-16,2023-06-16,integrated,Azul,,0,wkia
,84,Extract crac functionality into OS-agnostic files,wkia,2023-06-16,2023-07-03,integrated,Azul,,17,"rvansa,AntonKozlov"
,85,Wake up all TIMED_WAITING threads after restore,rvansa,2023-06-19,2023-06-30,integrated,Azul,,11,AntonKozlov
,86,PID adjustment on checkpoint,wkia,2023-06-20,2023-07-03,integrated,Azul,,13,
,87,Selectable Global Context implementation,AntonKozlov,2023-06-26,2023-07-04,integrated,Azul,,8,rvansa
,88,Fix JVMCI after #41,AntonKozlov,2023-06-28,2023-06-29,integrated,Azul,,1,wkia
,89,Workaround JDK-8311164: CPU_HT is set randomly on hybrid CPUs like Alder Lake,jankratochvil,2023-06-30,2023-06-30,integrated,Azul,,0,"rvansa,AntonKozlov"
,90,Implement: -XX:+UseZGC is currently unsupported for -XX:CRaCCheckpointTo,jankratochvil,2023-07-15,2023-07-18,integrated,Azul,,3,"rvansa,AntonKozlov"
,91,Adapted some FileDescriptor tests for Win,wkia,2023-07-24,2023-08-16,integrated,Azul,,23,"rvansa,AntonKozlov"
,92,macOS build fixes,wkia,2023-07-24,2023-07-25,integrated,Azul,,1,rvansa
,93,Ensure G1 GC is completed before creating a snapshot,jankratochvil,2023-07-25,2023-09-04,integrated,Azul,,41,AntonKozlov
,94,Fix wrong if conditional braces hidden by wrong indentation.,jankratochvil,2023-07-27,2023-07-28,integrated,Azul,,1,AntonKozlov
,97,Print better diagnostics for spawning CRIU,jankratochvil,2023-07-31,2023-08-10,integrated,Azul,,10,AntonKozlov
,98,C++ize criuengine,jankratochvil,2023-08-03,2023-08-03,integrated,Azul,,0,AntonKozlov
,100,Support -XX:+IgnoreCPUFeatures during -XX:CRaCRestoreFrom,jankratochvil,2023-08-09,2023-08-21,integrated,Azul,,12,AntonKozlov
,102,Fix missing include file.,jankratochvil,2023-08-11,2023-08-12,integrated,Azul,,1,AntonKozlov
,103,Keep _features the same after CRaC restore,jankratochvil,2023-08-11,2023-08-17,integrated,Azul,,6,AntonKozlov
,104,Fix builds,AntonKozlov,2023-08-12,2023-08-15,integrated,Azul,,3,jankratochvil
,105,Synchronize CPUFeatures with JDK trunk,jankratochvil,2023-08-13,2023-08-15,integrated,Azul,,2,AntonKozlov
,106,Prevent an assertion: Attempting to acquire lock PeriodicTask_lock...,jankratochvil,2023-08-20,2023-08-25,integrated,Azul,,5,"rvansa,AntonKozlov"
,107,Remove a needless whitespace change and a needless #include file,jankratochvil,2023-09-02,2023-09-04,integrated,Azul,,2,rvansa
,109,Fix ArchivedEnumTest.java testsuite regression,jankratochvil,2023-09-03,2023-09-05,integrated,Azul,,2,"rvansa,AntonKozlov"
,110,Fix lock usage in ReferenceQueue,rvansa,2023-09-07,2023-09-13,integrated,Azul,,6,AntonKozlov
,111,Remove criuengine dependency on libstdc++,jankratochvil,2023-09-16,2023-09-19,integrated,Azul,,3,"rvansa,AntonKozlov"
,113,CRaC: Fix fds opened for logging,jankratochvil,2023-09-19,2023-10-06,integrated,Azul,,17,rvansa
,114,CRaC: criuengine.c: Use asprintf(),jankratochvil,2023-09-19,2023-09-20,integrated,Azul,,1,rvansa
,115,"Fix: docker: Error response from daemon: Conflict. The container name ""/crac-test"" is already in use",jankratochvil,2023-09-20,2023-09-26,integrated,Azul,,6,rvansa
,116,Close files opened by Decoder before checkpoint,rvansa,2023-09-25,2023-10-27,integrated,Azul,,32,AntonKozlov
,117,Fix clang compilation error,jankratochvil,2023-09-25,2023-09-26,integrated,Azul,,1,rvansa
