bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,87,"Loom: Add missing stubs to fix build failures on PPC64, S390, ARM32 and Zero",shqking,2022-01-27,2022-01-28,integrated,Nvidia,CN,1,"shipilev,AlanBateman"
,89,Strip out TWR scope locals,theRealAph,2022-02-16,2022-02-16,integrated,Red Hat,GB,0,
,90,"Loom: [TESTBUG] HumongousStack.java fails with ""-XX:-UseCompressedOops""",shqking,2022-02-17,2022-02-26,integrated,Nvidia,CN,9,pron
8282468,92,"8282468: Loom: Fix build failures for PPC64, S390, ARM32 and Zero",shqking,2022-03-01,2022-03-07,integrated,Nvidia,CN,6,"pron,AlanBateman"
8281681,93,8281681: compiler/profiling/spectrapredefineclass_classloaders/Launcher.java crash when CodeCache is full,dean-long,2022-03-01,2022-03-02,integrated,Oracle,US,1,"pron,AlanBateman"
,94,Fix unloading tests to not have extra full GCs.,coleenp,2022-03-03,2022-03-03,integrated,Oracle,US,0,AlanBateman
,95,Inject StackChunk fields.,coleenp,2022-03-03,2022-03-03,integrated,Oracle,US,0,pron
,97,Better jdb support for vthreads. Improved jdb vthread testing support.,plummercj,2022-03-07,2022-03-18,integrated,Oracle,US,11,
8282792,98,8282792: Loom: Fix optimized build after commit 4d2710,shqking,2022-03-09,2022-03-24,integrated,Nvidia,CN,15,fisk
,100,Make addressing mode a property of the C++ frame type,coleenp,2022-03-14,2022-03-14,integrated,Oracle,US,0,
,101,Revert non-const ref from leftover from prior change.,coleenp,2022-03-15,2022-03-15,integrated,Oracle,US,0,
8282209,102,8282209: G1: Use synchronous concurrent marking for the code cache,lkorinth,2022-03-15,2022-03-16,integrated,Oracle,SE,1,"tschatzl,fisk"
,103,"Fix includes, braces, and whitespaces",stefank,2022-03-16,2022-03-16,integrated,Oracle,SE,0,fisk
,105,Loom compile times minimal,stefank,2022-03-16,2022-03-16,integrated,Oracle,SE,0,fisk
,106,"Note frames that are on the heap, rather than addressing mode",coleenp,2022-03-16,2022-03-17,integrated,Oracle,US,1,pron
,107,Remove space after asserts,stefank,2022-03-16,2022-03-16,integrated,Oracle,SE,0,tschatzl
,109,Fix compilation with gcc 11.2,tschatzl,2022-03-21,2022-03-21,integrated,Oracle,DE,0,pron
,111,Make compile on other platforms.,coleenp,2022-03-21,2022-03-22,integrated,Oracle,US,1,AlanBateman
,112,Simplify G1CodeBlobClosure,stefank,2022-03-22,2022-03-23,integrated,Oracle,SE,1,"tschatzl,fisk"
,113,Fix SerialGC bug in full_process_roots,stefank,2022-03-22,2022-03-22,integrated,Oracle,SE,0,"tschatzl,fisk"
,114,Small fixes - shipment one,robehn,2022-03-22,2022-03-22,integrated,Oracle,SE,0,"coleenp,fisk"
,115,Move back BacktraceBuilder,coleenp,2022-03-22,2022-03-22,integrated,Oracle,US,0,tschatzl
,116,Garbage collectors explicitly transform stack chunk,tschatzl,2022-03-23,2022-03-24,integrated,Oracle,DE,1,"stefank,fisk"
