bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,453,move ffi cpp and include files under ./src/main/native,grfrost,2025-06-20,2025-06-20,integrated,Oracle,,0,
,454,Create CoreType,PaulSandoz,2025-06-20,2025-06-23,integrated,Oracle,,3,mcimadamore
,455,Fix up experiment module. Also autogen config.h,grfrost,2025-06-21,2025-06-21,integrated,Oracle,,0,
,456,Towards a cleaner hat bld run script,grfrost,2025-06-23,2025-06-23,integrated,Oracle,,0,
,457,Update test with return value,PaulSandoz,2025-06-23,2025-06-23,integrated,Oracle,,0,
,458,Create extern package,PaulSandoz,2025-06-23,2025-06-23,integrated,Oracle,,0,mcimadamore
,459,Remove packages,PaulSandoz,2025-06-23,2025-06-23,integrated,Oracle,,0,
,460,Adjust factory constants,PaulSandoz,2025-06-23,2025-06-23,integrated,Oracle,,0,
,462,Integrated PartialEvaluator into Onnx,asotona,2025-06-24,2025-06-26,integrated,Oracle,CZ,2,
,463,Cleanups,PaulSandoz,2025-06-24,2025-06-24,integrated,Oracle,,0,
,464,Remove ExternalizableOp,PaulSandoz,2025-06-25,2025-06-26,integrated,Oracle,,1,mcimadamore
,465,Move OpBuilder to internal package.,PaulSandoz,2025-06-26,2025-06-26,integrated,Oracle,,0,
,466,Revert changes to Interpreter following PR 424,mabbay,2025-06-26,2025-06-26,integrated,Oracle,,0,PaulSandoz
,467,Explicit op factory implementations,PaulSandoz,2025-06-26,2025-06-27,integrated,Oracle,,1,mcimadamore
,468,Cleanup and consolidate `ReflectMethods`,mcimadamore,2025-06-27,2025-06-27,integrated,Oracle,GB,0,PaulSandoz
,470,Simplify OpFactory,PaulSandoz,2025-06-27,2025-06-30,integrated,Oracle,,3,
,471,Cleanup compiler code gen,PaulSandoz,2025-06-27,2025-06-30,integrated,Oracle,,3,
,472,Renamed hat-core -> core and wrap to wraps,grfrost,2025-06-28,2025-06-28,integrated,Oracle,,0,
,473,Missed some import issues (experiments) from latest babylon changes,grfrost,2025-06-28,2025-06-28,integrated,Oracle,,0,
,474,Hat Linux fixes to new build,grfrost,2025-06-28,2025-06-28,integrated,Oracle,,0,
,475,Move OpDeclaration to internal package,PaulSandoz,2025-06-30,2025-07-01,integrated,Oracle,,1,
,476,Remove Java prefix from Java ops,PaulSandoz,2025-07-01,2025-07-01,integrated,Oracle,,0,
,477,Onnx Record to tuple types conversion moved to TypeConverter,asotona,2025-07-02,2025-07-07,integrated,Oracle,CZ,5,
,478,Block.Reference implements CodeItem,PaulSandoz,2025-07-03,2025-07-03,integrated,Oracle,,0,
,479,CodeElement ancestor functionality,PaulSandoz,2025-07-03,2025-07-08,integrated,Oracle,,5,
,480,Sync with babylon changes and moved/renamed dirs for consistency,grfrost,2025-07-05,2025-07-05,integrated,Oracle,,0,
,481,"Added example-experiments to hat/bld and maven poms""",grfrost,2025-07-05,2025-07-05,integrated,Oracle,,0,
,482,Sadly opengl wrap had hardcoded package name this is fixed now,grfrost,2025-07-05,2025-07-05,integrated,Oracle,,0,
,483,renamed pom artifacts to align with docs and java @hat/bld,grfrost,2025-07-06,2025-07-06,integrated,Oracle,,0,
,484,We can now build jextracted artifacts from maven,grfrost,2025-07-07,2025-07-07,integrated,Oracle,,0,
,485,Missed a project rename in hat/bld.java,grfrost,2025-07-07,2025-07-07,integrated,Oracle,,0,
,486,Issue errors when quotable constructs are found inside inner classes,mcimadamore,2025-07-07,2025-07-08,integrated,Oracle,GB,1,PaulSandoz
,487,Added a Java code builder ,grfrost,2025-07-07,2025-07-07,integrated,Oracle,,0,
,488,Reduce Op writing to text methods.,PaulSandoz,2025-07-07,2025-07-08,integrated,Oracle,,1,mcimadamore
,489,Disallow `null` return expressions in quoted lambdas,mcimadamore,2025-07-08,2025-07-08,integrated,Oracle,GB,0,PaulSandoz
,490,Remove Op::traverseOperands,PaulSandoz,2025-07-09,2025-07-09,integrated,Oracle,,0,
,491,Single method to append an operation to a block builder,PaulSandoz,2025-07-09,2025-07-10,integrated,Oracle,,1,
,492,Lowering passes on transformer,PaulSandoz,2025-07-10,2025-07-10,integrated,Oracle,,0,
,493,Move Block.Builder.inline to analysis package,PaulSandoz,2025-07-10,2025-07-11,integrated,Oracle,,1,
,494,Transformation API changes,PaulSandoz,2025-07-14,2025-08-01,integrated,Oracle,,18,
,495,ONNX LLM example implementation,asotona,2025-07-21,2025-07-23,integrated,Oracle,CZ,2,
,496,[feature][HAT] 2D and 3D ranges for the NDRange API,jjfumero,2025-07-23,2025-07-24,integrated,Oracle,,1,
,497,Some documentation updates,grfrost,2025-07-24,2025-07-24,integrated,Oracle,,0,
,498,Added some hat tooling from my secret stash,grfrost,2025-07-26,2025-07-26,integrated,Oracle,,0,
,499,Add line number gutter to op viewer,grfrost,2025-07-27,2025-07-27,integrated,Oracle,,0,
,500,[hat] mxm example with loop interchange,jjfumero,2025-07-29,2025-07-29,integrated,Oracle,,0,
,501,Hat remove unused tool classes,grfrost,2025-07-29,2025-07-29,integrated,Oracle,,0,
,502,Added a pair of jsplitpanes to FuncOpViewer,grfrost,2025-07-30,2025-07-30,integrated,Oracle,,0,
,503,[docs][hat] Notes for building and running with the CUDA backend,jjfumero,2025-07-30,2025-07-31,integrated,Oracle,,1,
,504,[hat][cuda] 2D/3D NDrange supported for CUDA,jjfumero,2025-07-30,2025-07-31,integrated,Oracle,,1,
,505,Add back code for highlighting SSA id references,grfrost,2025-07-30,2025-07-30,integrated,Oracle,,0,
,506,Mistakenly left some debug code in last PR,grfrost,2025-07-30,2025-07-30,integrated,Oracle,,0,
,508,[hat][cuda] Add check errors for all CUDA calls,jjfumero,2025-07-31,2025-07-31,integrated,Oracle,,0,
,509,Validate arguments types when interpreting an operation,mabbay,2025-07-31,2025-08-05,integrated,Oracle,,5,"PaulSandoz,mcimadamore"
,510,[hat][opencl] Check errors macro added,jjfumero,2025-08-01,2025-08-01,integrated,Oracle,,0,
