jep_number,title,status,target_version,owner
475,Late Barrier Expansion for G1,Closed / Delivered,24,Roberto Castaneda Lozano
476,Module Import Declarations (Preview),Closed / Delivered,23,Gavin Bierman
477,Implicitly Declared Classes and Instance Main Methods (Third Preview),Closed / Delivered,23,Gavin Bierman
478,Key Derivation Function API (Preview),Closed / Delivered,24,Kevin Driver
479,Remove the Windows 32-bit x86 Port,Closed / Delivered,24,George Adams
480,Structured Concurrency (Third Preview),Closed / Delivered,23,Alan Bateman
481,Scoped Values (Third Preview),Closed / Delivered,23,Andrew Haley
482,Flexible Constructor Bodies (Second Preview),Closed / Delivered,23,Archie Cobbs
483,Ahead-of-Time Class Loading & Linking,Closed / Delivered,24,Ioi Lam
484,Class-File API,Closed / Delivered,24,Adam Sotona
485,Stream Gatherers,Closed / Delivered,24,Viktor Klang
486,Permanently Disable the Security Manager,Closed / Delivered,24,Sean Mullan
487,Scoped Values (Fourth Preview),Closed / Delivered,24,Andrew Haley
488,"Primitive Types in Patterns, instanceof, and switch (Second Preview)",Closed / Delivered,24,Angelos Bimpoudis
489,Vector API (Ninth Incubator),Closed / Delivered,24,Paul Sandoz
490,ZGC: Remove the Non-Generational Mode,Closed / Delivered,24,Axel Boldt-Christmas
491,Synchronize Virtual Threads without Pinning,Closed / Delivered,24,Alan Bateman
492,Flexible Constructor Bodies (Third Preview),Closed / Delivered,24,Archie Cobbs
493,Linking Run-Time Images without JMODs,Closed / Delivered,24,Severin Gehwolf
494,Module Import Declarations (Second Preview),Closed / Delivered,24,Gavin Bierman
495,Simple Source Files and Instance Main Methods (Fourth Preview),Closed / Delivered,24,Gavin Bierman
496,Quantum-Resistant Module-Lattice-Based Key Encapsulation Mechanism,Closed / Delivered,24,Weijun Wang
497,Quantum-Resistant Module-Lattice-Based Digital Signature Algorithm,Closed / Delivered,24,Weijun Wang
498,Warn upon Use of Memory-Access Methods in sun.misc.Unsafe,Closed / Delivered,24,Ron Pressler
499,Structured Concurrency (Fourth Preview),Closed / Delivered,24,Alan Bateman
500,Prepare to Make Final Mean Final,Closed / Delivered,26,Ron Pressler
501,Deprecate the 32-bit x86 Port for Removal,Closed / Delivered,24,Aleksey Shipilev
502,Stable Values (Preview),Closed / Delivered,25,Per-Ake Minborg
503,Remove the 32-bit x86 Port,Closed / Delivered,25,Aleksey Shipilev
504,Remove the Applet API,Closed / Delivered,26,Philip Race
505,Structured Concurrency (Fifth Preview),Closed / Delivered,25,Alan Bateman
506,Scoped Values,Closed / Delivered,25,Andrew Haley
507,"Primitive Types in Patterns, instanceof, and switch (Third Preview)",Closed / Delivered,25,Angelos Bimpoudis
508,Vector API (Tenth Incubator),Closed / Delivered,25,Ian Graves
509,JFR CPU-Time Profiling (Experimental),Closed / Delivered,25,Johannes Bechberger
510,Key Derivation Function API,Closed / Delivered,25,Kevin Driver
511,Module Import Declarations,Closed / Delivered,25,Gavin Bierman
512,Compact Source Files and Instance Main Methods,Closed / Delivered,25,Gavin Bierman
513,Flexible Constructor Bodies,Closed / Delivered,25,Gavin Bierman
514,Ahead-of-Time Command-Line Ergonomics,Closed / Delivered,25,John Rose
515,Ahead-of-Time Method Profiling,Closed / Delivered,25,John Rose
516,Ahead-of-Time Object Caching with Any GC,Closed / Delivered,26,Erik Österlund
517,HTTP/3 for the HTTP Client API,Closed / Delivered,26,Daniel Fuchs
518,JFR Cooperative Sampling,Closed / Delivered,25,Markus Grönlund
519,Compact Object Headers,Closed / Delivered,25,Roman Kennke
520,JFR Method Timing & Tracing,Closed / Delivered,25,Erik Gahlin
521,Generational Shenandoah,Closed / Delivered,25,William Kemper
522,G1 GC: Improve Throughput by Reducing Synchronization,Closed / Delivered,26,Ivan Walulya
523,Make G1 the Default Garbage Collector in All Environments,Candidate,,Thomas Schatzl
524,PEM Encodings of Cryptographic Objects (Second Preview),Closed / Delivered,26,Anthony Scarpino
525,Structured Concurrency (Sixth Preview),Closed / Delivered,26,Alan Bateman
526,Lazy Constants (Second Preview),Closed / Delivered,26,Per-Ake Minborg
527,Post-Quantum Hybrid Key Exchange for TLS 1.3,Completed,27,Jamil Nimeh
528,Post-Mortem Crash Analysis with jcmd,Candidate,,Kevin Walls
529,Vector API (Eleventh Incubator),Closed / Delivered,26,Xueming Shen
530,"Primitive Types in Patterns, instanceof, and switch (Fourth Preview)",Closed / Delivered,26,Angelos Bimpoudis
531,Lazy Constants (Third Preview),Candidate,,Per-Ake Minborg
8044507,JMX Specific Annotations for Registration of Managed Resources,Draft,tbd,Harsha Wardhana B
8068562,"javadoc tags to distinguish API, implementation, specification, and notes",Draft,,Stuart Marks
8132243,Optimize Final Field Loads In Generated Code,Draft,,Vladimir Ivanov
8158765,Isolated Methods,Draft,,Maurizio Cimadamore
8171275,Certificate Transparency,Draft,,Jamil Nimeh
8179037,Improve IPv6 support,Draft,,Arthur Eubanks
8179657,provide stable USDT probe points on JVM compiled methods,Draft,,John Rose
8180647,Race exclusion for confined data,Draft,,John Rose
8182862,unboxed argument lists for method handles,Draft,,John Rose
8186473,special notation for the receiver helper pattern,Draft,,John Rose
8191530,fluent postfix notation for statically scoped interface methods,Draft,,John Rose
8201462,Better hash codes,Draft,,John Rose
8204937,Type operator expressions in the JVM,Draft,,John Rose
8208520,Java Thread Sanitizer,Draft,tbd,Jean Christophe Beyler
8209434,Concise Method Bodies,Draft,,Brian Goetz
8209964,Lazy Static Final Fields,Draft,,John Rose
8214497,Guidelines for documenting system properties,Draft,,Jonathan Gibbons
8221828,New Invoke Bindings,Draft,,Erik Österlund
8223002,Keyword Management for the Java Language,Draft,,Alex Buckley
8223220,JVMCI based JIT Compiler pre-compiled as shared library,Draft,,Vladimir Kozlov
8248257,Simplified bootstrap method invocation,Draft,,John Rose
8248259,Low-level classfile reflection,Draft,,John Rose
8249196,Low-level Object layout introspection methods,Draft,,Aleksey Shipilev
8258000,refactor per-instance metadata to be separate from ClassInfo metadata,Draft,,John Rose
8260688,Predictable regex performance,Draft,,Martin Buchholz
8261007,Frozen Arrays (Preview),Draft,,John Rose
8261099,Internal Frozen Arrays,Draft,,John Rose
8263697,Safer Process Launch by ProcessBuilder and Runtime.exec,Draft,tbd,Roger Riggs
8279184,Instruction Issue Cache Hardware Accommodation,Draft,,Paul Hohensee
8283227,JDK Source Structure,Draft,,Magnus Ihse Bursie
8283291,Extended Opcodes,Draft,,Julian Waters
8284453,Optionally Record Thread Context in JFR,Draft,,Jaroslav Bachorík
8288293,Windows/gcc Port,Draft,tbd,Julian Waters
8297156,low-level control of field initialization,Draft,,John Rose
8297236,enhanced checkcast for Valhalla type unification,Draft,,John Rose
8300604,"Preview Features: A Look Back, and A Look Ahead",Draft,,Alex Buckley
8303099,Null-Restricted and Nullable Types (Preview),Draft,,Dan Smith
8305968,Integrity by Default,Draft,,Ron Pressler
8316779,Null-Restricted Value Class Types (Preview),Draft,,Dan Smith
8323658,Exception handling in switch (Preview),Draft,,Angelos Bimpoudis
8325511,Security Providers Filter,Draft,,Martin Balao Alonso
8328186,Hot Code Heap,Draft,,Dmitry Chuyko
8329758,Faster Startup and Warmup with ZGC,Submitted,,Erik Österlund
8335368,Ahead-of-Time Code Compilation,Draft,,John Rose
8336232,CDS Implementation Notes,Draft,,John Rose
8344154,Convenience Methods for JSON Documents,Submitted,,Naoto Sato
8349069,4-byte Object Headers (Experimental),Draft,,Roman Kennke
8350152,Automatic Heap Sizing for the Serial Garbage Collector,Draft,,Kirk Pepperdine
8350458,Strict Field Initialization in the JVM (Preview),Submitted,,Dan Smith
8354416,Prepare for Native Memory Tracking in the JDK,Submitted,,Johan Sjölen
8357464,Enhanced Local Variable Declarations (Preview),Draft,,Angelos Bimpoudis
8357674,Classifier API to Map Finite Sets to Indexes,Draft,,John Rose
8359211,Automatic Heap Sizing for G1,Submitted,,Thomas Schatzl
8361105,Code reflection (Incubator),Submitted,,Paul Sandoz
8361187,Compact Object Headers by Default,Draft,,Roman Kennke
8363700,Rich Notes in Java API Documentation,Submitted,,Hannes Wallnoefer
8371379,Deprecate the UTF-16-only String Representation,Draft,,Stuart Marks
8372760,JFR: In-Process Data Redaction,Draft,,Erik Gahlin
8373610,Structured Concurrency (Seventh Preview),Submitted,,Alan Bateman
8376991,PEM Encodings of Cryptographic Objects,Submitted,,Anthony Scarpino
8377081,Argon2 Password Hashing Algorithm,Submitted,,Artur Barashev
8377305,Automatic Heap Sizing for ZGC,Submitted,,Erik Österlund
8379682,Make Shenandoah's generational mode the default,Draft,,William Kemper
8380294,JEP Draft: Unbiased Stack-Walk API,Draft,,Roman Kennke
