jep_number,title,status,target_version,owner
184,HTTP URL Permissions,Closed / Delivered,8,Michael McMahon
185,Restrict Fetching of External XML Resources,Closed / Delivered,8,Joe Wang
186,Collection Literals,Closed / Withdrawn,,Brian Goetz
188,Java Memory Model Update,Draft,,Doug Lea
189,Shenandoah: A Low-Pause-Time Garbage Collector (Experimental),Closed / Delivered,12,Roman Kennke
190,Pluggable Static Analyzers,Draft,,Jan Lahoda
191,Foreign Function Interface,Closed / Withdrawn,,John Rose
192,String Deduplication in G1,Closed / Delivered,8u20,Per Liden
193,Variable Handles,Closed / Delivered,9,Paul Sandoz
194,Nashorn Code Persistence,Closed / Withdrawn,,Jim Laskey
195,Scalable Native Memory Tracking,Closed / Delivered,8u40,Mary Lautman
196,Nashorn Optimistic Typing,Closed / Delivered,8u40,Marcus Lagergren
197,Segmented Code Cache,Closed / Delivered,9,Tobias Hartmann
198,Light-Weight JSON API,Closed / Withdrawn,,Mike Duigou
199,"Smart Java Compilation, Phase Two",Closed / Delivered,9,Andreas Lundblad
200,The Modular JDK,Closed / Delivered,9,Mark Reinhold
201,Modular Source Code,Closed / Delivered,9,Alan Bateman
202,Nashorn Class Filter,Closed / Delivered,8u40,Sundararajan Athijegannathan
203,Nashorn: Lexically-Scoped Variable & Constant Declarations,Closed / Delivered,8u40,Hannes Wallnoefer
204,JavaFX Accessibility,Closed / Delivered,8u40,Steve Northover
205,New Controls for JavaFX,Closed / Delivered,8u40,Steve Northover
206,Modernize the JavaFX Media Stack on Mac OS X,Closed / Delivered,8u40,David Dehaven
207,Leverage CPU Instructions to Improve SHA Performance on SPARC,Closed / Delivered,8u40,Vladimir Kozlov
208,Java Packager Improvements,Closed / Delivered,8u40,Danno Ferrin
209,JavaFX Scene Builder Update,Closed / Delivered,8u40,Simon Vienot
210,LambdaForm Reduction and Caching,Closed / Delivered,8u40,Vladimir Ivanov
211,Elide Deprecation Warnings on Import Statements,Closed / Delivered,9,Joe Darcy
212,Resolve Lint and Doclint Warnings,Closed / Delivered,9,Joe Darcy
213,Milling Project Coin,Closed / Delivered,9,Joe Darcy
214,Remove GC Combinations Deprecated in JDK 8,Closed / Delivered,9,Bengt Rutisson
215,Tiered Attribution for javac,Closed / Delivered,9,Vicente Arturo Romero Zaldivar
216,Process Import Statements Correctly,Closed / Delivered,9,Jan Lahoda
217,Annotations Pipeline 2.0,Closed / Delivered,9,Joel Borggrén-Franck
218,Generics over Primitive Types,Candidate,,Brian Goetz
219,Datagram Transport Layer Security (DTLS),Closed / Delivered,9,Xuelei Fan
220,Modular Run-Time Images,Closed / Delivered,9,Alan Bateman
221,New Doclet API,Closed / Delivered,9,Kumar Srinivasan
222,jshell: The Java Shell (Read-Eval-Print Loop),Closed / Delivered,9,Robert Field
223,New Version-String Scheme,Closed / Delivered,9,Iris Clark
224,HTML5 Javadoc,Closed / Delivered,9,Bhavesh Patel
225,Javadoc Search,Closed / Delivered,9,Bhavesh Patel
226,UTF-8 Property Resource Bundles,Closed / Delivered,9,Naoto Sato
227,Unicode 7.0,Closed / Delivered,9,Yuka Kamiya
228,Add More Diagnostic Commands,Closed / Delivered,9,Staffan Larsen
229,Create PKCS12 Keystores by Default,Closed / Delivered,9,Vincent Ryan
230,Microbenchmark Suite,Closed / Delivered,12,Claes Redestad
231,Remove Launch-Time JRE Version Selection,Closed / Delivered,9,Kumar Srinivasan
232,Improve Secure Application Performance,Closed / Delivered,9,Sean Mullan
233,Generate Run-Time Compiler Tests Automatically,Closed / Delivered,9,Igor Ignatyev
234,Additional Run-Time Compiler JVM Trace Events,Candidate,,Igor Ignatyev
235,Test Class-File Attributes Generated by javac,Closed / Delivered,9,Andrei Eremeev
236,Parser API for Nashorn,Closed / Delivered,9,Sundararajan Athijegannathan
237,Linux/AArch64 Port,Closed / Delivered,9,Andrew Haley
238,Multi-Release JAR Files,Closed / Delivered,9,Paul Sandoz
239,Update JavaFX/WebView to Newer Version of WebKit,Closed / Delivered,8u60,Victor Dyakov
240,Remove the JVM TI hprof Agent,Closed / Delivered,9,Staffan Larsen
241,Remove the jhat Tool,Closed / Delivered,9,Staffan Larsen
242,JVM Trace Events for Failed Allocations,Closed / Delivered,8u60,Marcus Larsson
243,Java-Level JVM Compiler Interface,Closed / Delivered,9,John Rose
244,TLS Application-Layer Protocol Negotiation Extension,Closed / Delivered,9,Bradford Wetmore
245,Validate JVM Command-Line Flag Arguments,Closed / Delivered,9,Gerard Ziemski
246,Leverage CPU Instructions for GHASH and RSA,Closed / Delivered,9,Anthony Scarpino
247,Compile for Older Platform Versions,Closed / Delivered,9,Jan Lahoda
248,Make G1 the Default Garbage Collector,Closed / Delivered,9,Stefan Johansson
249,OCSP Stapling for TLS,Closed / Delivered,9,Jamil Nimeh
250,Store Interned Strings in CDS Archives,Closed / Delivered,9,Ioi Lam
251,Multi-Resolution Images,Closed / Delivered,9,Alexandr Scherbatiy
252,Use CLDR Locale Data by Default,Closed / Delivered,9,Naoto Sato
253,Prepare JavaFX UI Controls & CSS APIs for Modularization,Closed / Delivered,9,Jonathan Giles
254,Compact Strings,Closed / Delivered,9,Xueming Shen
255,Merge Selected Xerces 2.11.0 Updates into JAXP,Closed / Delivered,9,Joe Wang
256,BeanInfo Annotations,Closed / Delivered,9,Sergey Bylokhov
257,Update JavaFX/Media to Newer Version of GStreamer,Closed / Delivered,9,Alexander Matveev
258,HarfBuzz Font-Layout Engine,Closed / Delivered,9,Philip Race
259,Stack-Walking API,Closed / Delivered,9,Mandy Chung
260,Encapsulate Most Internal APIs,Closed / Delivered,9,Chris Hegarty
261,Module System,Closed / Delivered,9,Mark Reinhold
262,TIFF Image I/O,Closed / Delivered,9,Philip Race
263,HiDPI Graphics on Windows and Linux,Closed / Delivered,9,Alexandr Scherbatiy
264,Platform Logging API and Service,Closed / Delivered,9,Daniel Fuchs
265,Marlin Graphics Renderer,Closed / Delivered,9,Laurent Bourgès
266,More Concurrency Updates,Closed / Delivered,9,Doug Lea
267,Unicode 8.0,Closed / Delivered,9,Yuka Kamiya
268,XML Catalogs,Closed / Delivered,9,Joe Wang
269,Convenience Factory Methods for Collections,Closed / Delivered,9,Stuart Marks
270,Reserved Stack Areas for Critical Sections,Closed / Delivered,9,Frederic Parain
271,Unified GC Logging,Closed / Delivered,9,Bengt Rutisson
272,Platform-Specific Desktop Features,Closed / Delivered,9,Alexander Zvegintsev
273,DRBG-Based SecureRandom Implementations,Closed / Delivered,9,Weijun Wang
274,Enhanced Method Handles,Closed / Delivered,9,Michael Haupt
275,Modular Java Application Packaging,Closed / Delivered,9,Chris Bensen
276,Dynamic Linking of Language-Defined Object Models,Closed / Delivered,9,Attila Szegedi
277,Enhanced Deprecation,Closed / Delivered,9,Stuart Marks
278,Additional Tests for Humongous Objects in G1,Closed / Delivered,9,Igor Ignatyev
279,Improve Test-Failure Troubleshooting,Closed / Delivered,9,Igor Ignatyev
280,Indify String Concatenation,Closed / Delivered,9,Aleksey Shipilev
281,HotSpot C++ Unit-Test Framework,Closed / Delivered,9,Igor Ignatyev
282,jlink: The Java Linker,Closed / Delivered,9,Jim Laskey
283,Enable GTK 3 on Linux,Closed / Delivered,9,David Hill
284,New HotSpot Build System,Closed / Delivered,9,Erik Joelsson
285,Spin-Wait Hints,Closed / Delivered,9,Paul Sandoz
286,Local-Variable Type Inference,Closed / Delivered,10,Dan Smith
287,SHA-3 Hash Algorithms,Closed / Delivered,9,Valerie Peng
288,Disable SHA-1 Certificates,Closed / Delivered,9,Sean Mullan
289,Deprecate the Applet API,Closed / Delivered,9,Daniil Titov
290,Filter Incoming Serialization Data,Closed / Delivered,9,Roger Riggs
291,Deprecate the Concurrent Mark Sweep (CMS) Garbage Collector,Closed / Delivered,9,Jon Masamitsu
292,Implement Selected ECMAScript 6 Features in Nashorn,Closed / Delivered,9,Hannes Wallnoefer
293,Guidelines for JDK Command-Line Tool Options,Active,,Jonathan Gibbons
294,Linux/s390x Port,Closed / Delivered,9,Volker Simonis
295,Ahead-of-Time Compilation,Closed / Delivered,9,Vladimir Kozlov
296,Consolidate the JDK Forest into a Single Repository,Closed / Delivered,10,Joe Darcy
297,Unified arm32/arm64 Port,Closed / Delivered,9,Ed Nevill
298,Remove Demos and Samples,Closed / Delivered,9,Aleksandre Iline
299,Reorganize Documentation,Closed / Delivered,9,Jonathan Gibbons
300,Augment Use-Site Variance with Declaration-Site Defaults,Candidate,,Dan Smith
301,Enhanced Enums,Closed / Withdrawn,,Maurizio Cimadamore
302,Lambda Leftovers,Candidate,,Maurizio Cimadamore
303,Intrinsics for the LDC and INVOKEDYNAMIC Instructions,Candidate,,Vicente Arturo Romero Zaldivar
304,Garbage Collector Interface,Closed / Delivered,10,Roman Kennke
305,Pattern Matching for instanceof (Preview),Closed / Delivered,14,Gavin Bierman
306,Restore Always-Strict Floating-Point Semantics,Closed / Delivered,17,Joe Darcy
307,Parallel Full GC for G1,Closed / Delivered,10,Stefan Johansson
308,Improve Dynamic Number of Thread Sizing for G1,Closed / Withdrawn,,Thomas Schatzl
309,Dynamic Class-File Constants,Closed / Delivered,11,Lois Foltan
310,Application Class-Data Sharing,Closed / Delivered,10,Ioi Lam
311,Java Packager API & CLI,Closed / Withdrawn,,Victor Drozdov
312,Thread-Local Handshakes,Closed / Delivered,10,Robbin Ehn
313,Remove the Native-Header Generation Tool (javah),Closed / Delivered,10,Jonathan Gibbons
314,Additional Unicode Language-Tag Extensions,Closed / Delivered,10,Naoto Sato
315,Improve Aarch64 Intrinsics,Closed / Delivered,11,Dmitrij Pochepko
316,Heap Allocation on Alternative Memory Devices,Closed / Delivered,10,Kishor Kharbas
317,Experimental Java-Based JIT Compiler,Closed / Delivered,10,Igor Veresov
318,Epsilon: A No-Op Garbage Collector (Experimental),Closed / Delivered,11,Aleksey Shipilev
319,Root Certificates,Closed / Delivered,10,Rajan Halade
320,Remove the Java EE and CORBA Modules,Closed / Delivered,11,Lance Andersen
321,HTTP Client API,Closed / Delivered,11,Chris Hegarty
322,Time-Based Release Versioning,Closed / Delivered,10,Mark Reinhold
323,Local-Variable Syntax for Lambda Parameters,Closed / Delivered,11,Vicente Arturo Romero Zaldivar
324,Key Agreement with Curve25519 and Curve448,Closed / Delivered,11,Adam Petcher
325,Switch Expressions (Preview),Closed / Delivered,12,Jan Lahoda
326,Raw String Literals (Preview),Closed / Withdrawn,,Jim Laskey
327,Unicode 10,Closed / Delivered,11,Rachna Goel
328,Flight Recorder,Closed / Delivered,11,Erik Gahlin
329,ChaCha20 and Poly1305 Cryptographic Algorithms,Closed / Delivered,11,Jamil Nimeh
330,Launch Single-File Source-Code Programs,Closed / Delivered,11,Jonathan Gibbons
331,Low-Overhead Heap Profiling,Closed / Delivered,11,Jean Christophe Beyler
332,Transport Layer Security (TLS) 1.3,Closed / Delivered,11,Xuelei Fan
333,ZGC: A Scalable Low-Latency Garbage Collector (Experimental),Closed / Delivered,11,Per Liden
334,JVM Constants API,Closed / Delivered,12,Vicente Arturo Romero Zaldivar
335,Deprecate the Nashorn JavaScript Engine for Removal,Closed / Delivered,11,Jim Laskey
336,Deprecate the Pack200 Tools and API,Closed / Delivered,11,Henry Jen
337,RDMA Network Sockets,Closed / Withdrawn,,Yingqi Lu
338,Vector API (Incubator),Closed / Delivered,16,Paul Sandoz
339,Edwards-Curve Digital Signature Algorithm (EdDSA),Closed / Delivered,15,Anthony Scarpino
340,"One AArch64 Port, Not Two",Closed / Delivered,12,Bob Vandette
341,Default CDS Archives,Closed / Delivered,12,Jiangli Zhou
342,Limit Speculative Execution,Closed / Withdrawn,,Jesper Wilhelmsson
343,Packaging Tool (Incubator),Closed / Delivered,14,Kevin Rushforth
344,Abortable Mixed Collections for G1,Closed / Delivered,12,Erik Helin
345,NUMA-Aware Memory Allocation for G1,Closed / Delivered,14,Sangheon Kim
346,Promptly Return Unused Committed Memory from G1,Closed / Delivered,12,Thomas Schatzl
347,Enable C++14 Language Features,Closed / Delivered,16,Kim Barrett
348,Compiler Intrinsics for Java SE APIs,Closed / Withdrawn,,Vicente Arturo Romero Zaldivar
349,JFR Event Streaming,Closed / Delivered,14,Erik Gahlin
350,Dynamic CDS Archives,Closed / Delivered,13,Calvin Cheung
351,ZGC: Uncommit Unused Memory (Experimental),Closed / Delivered,13,Per Liden
352,Non-Volatile Mapped Byte Buffers,Closed / Delivered,14,Andrew Dinn
353,Reimplement the Legacy Socket API,Closed / Delivered,13,Alan Bateman
354,Switch Expressions (Second Preview),Closed / Delivered,13,Jan Lahoda
355,Text Blocks (Preview),Closed / Delivered,13,Jim Laskey
356,Enhanced Pseudo-Random Number Generators,Closed / Delivered,17,Jim Laskey
357,Migrate from Mercurial to Git,Closed / Delivered,16,Joe Darcy
358,Helpful NullPointerExceptions,Closed / Delivered,14,Goetz Lindenmaier
359,Records (Preview),Closed / Delivered,14,Vicente Arturo Romero Zaldivar
360,Sealed Classes (Preview),Closed / Delivered,15,Vicente Arturo Romero Zaldivar
361,Switch Expressions,Closed / Delivered,14,Jan Lahoda
362,Deprecate the Solaris and SPARC Ports,Closed / Delivered,14,Mikael Vidstedt
