username,full_name,jdk_role,other_projects
dboyle,Dermot Boyle,Author,
dbuck,David Buck,Committer,
dcherepanov,Dmitry Cherepanov,Reviewer,
dconway,Darragh Conway,Author,
dcubed,Daniel D. Daugherty,Reviewer,"hotspot: Member, serviceability: Member"
ddehaven,David Dehaven,Committer,
ddmitriev,Dmitry Dmitriev,Committer,
denis,Denis Fokin,Committer,
dermashov,Dmitriy Ermashov,Committer,
dfazunen,Dmitry Fazunenko,Committer,
dfenacci,Damon Fenacci,Committer,
dfuchs,Daniel Fuchs,Reviewer,"core-libs: Member, net: Member"
dhanalla,Dhamoder Nalla,Author,
dholmes,David Holmes,Reviewer,"core-libs: Member, csr: Member, hotspot: Member"
diazhou,Jerry Zhou,Author,
djelinski,Daniel Jelinski,Reviewer,net: Member
dkulikov,Dmitry Kulikov,Author,
dkumari,Deepa Kumari,Author,
dl,Doug Lea,Reviewer,"core-libs: Member, csr: Member"
dlemmond,Dan Lemmond,Author,
dli,David Li,Author,
dlong,Dean Long,Reviewer,hotspot: Member
dlutker,Dan Lutker,Author,
dmalav,Dinesh Malav,Author,
dmarkov,Dmitry Markov,Reviewer,client-libs: Member
dmlloyd,David Lloyd,Author,
dmocek,Darryl Mocek,Author,
dnguyen,Damon Nguyen,Reviewer,
dnsimon,Doug Simon,Reviewer,"galahad: Lead, graal: Lead"
doko,Matthias Klose,Author,
dongbo,Dong Bo,Author,
dongbohe,Dongbo He,Committer,
dpochepk,Dmitrij Pochepko,Committer,
dqu,Daohan Qu,Author,
drchase,David Chase,Committer,
drreta,Andriy Redko,Author,
drwhite,Derek White,Committer,
dsamersoff,Dmitry Samersoff,Reviewer,
dsimms,David Simms,Author,
dstadler,Dominik Stadler,Author,
dstewart,Daniel Stewart,Author,
dtabata,Daishi Tabata,Author,
dthomson,Derek Thomson,Author,
dtitov,Daniil Titov,Reviewer,
duke,J. Duke,Author,
dwanvik,Dag Wanvik,Committer,
dxu,Dan Xu,Committer,
dyama,Daisuke Yamazaki,Author,
dzhou,Dora Zhou,Author,
easlan,Elif Aslan,Author,
ecaspole,Eric Caspole,Reviewer,
egahlin,Erik Gahlin,Reviewer,hotspot: Member
ehelin,Erik Duveblad,Reviewer,hotspot: Member
eistepan,Evgeniya Stepanova,Author,
emc,Eric McCorkle,Committer,
emcmanus,Eamonn McManus,Reviewer,
enevill,Ed Nevill,Committer,"aarch32-port: Lead, aarch64-port: Committer, porters: Member"
enikitin,Evgeny Nikitin,Author,
enothum,Eric Nothum,Author,
eolivelli,Enrico Olivelli,Author,
eosterlund,Erik Osterlund,Reviewer,hotspot: Member
epeter,Emanuel Peter,Reviewer,"galahad: Committer, hotspot: Member"
erfang,Eric Fang,Author,
erikj,Erik Joelsson,Reviewer,"brisbane: Reviewer, build: Member, code-tools: Committer, detroit: Committer, galahad: Committer, guide: Committer"
eushakov,Egor Ushakov,Author,
evergizova,Ekaterina Vergizova,Committer,
ewang,Eric Wang,Author,
ewendeli,Edvard Wendelin,Committer,
ewhelan,Evan Whelan,Author,
farvidsson,Fredrik Arvidsson,Committer,
fbredberg,Fredrik Bredberg,Reviewer,hotspot: Member
fferrari,Francisco Ferrari Bihurriet,Committer,vulnerability: Member
fitzsim,Thomas Fitzsimmons,Author,
flar,Jim Graham,Reviewer,
fmeum,Fabian Meumertzheim,Author,
fparain,Frederic Parain,Reviewer,hotspot: Member
fromano,Fabio Romano,Author,
fweimer,Florian Weimer,Author,
fyuan,Frank Yuan,Committer,
fyang,Fei Yang,Reviewer,"aarch64-port: Committer, hotspot: Member"
fzhinkin,Filipp Zhinkin,Committer,
gbenson,Gary Benson,Committer,
gcao,Gui Cao,Author,
gchen,Gang Chen,Author,
gdams,George Adams,Committer,
gguo,Ge Guo,Author,
ghan,Guanqiang Han,Author,
ghaug,Gunter Haug,Author,
gkrishnan,Gautham Krishnan,Author,
gkrivoshein,Gennadiy Krivoshein,Author,
gli,Guoxiong Li,Reviewer,
godin,Evgeny Mandrikov,Author,
goetz,Goetz Lindenmaier,Reviewer,"hotspot: Member, vulnerability: Member"
gpatil,Gauri Patil,Author,
gromero,Gustavo Romero,Committer,
gsimon,Gustavo Simon,Author,
gthornbr,Gerald Thornbrugh,Author,
gtriantafill,George Triantafillou,Committer,
gzhang,Gaofeng Zhang,Author,
gziemski,Gerard Ziemski,Reviewer,hotspot: Member
hannesw,Hannes Wallnoefer,Reviewer,amber: Committer
haotang,Hao Tang,Author,
haraldei,Harald Eilertsen,Author,
hb,Harsha Wardhana B,Committer,
hchao,Hai-May Chao,Reviewer,security: Member
hdhiman,Harshit Dhiman,Author,
henryjen,Henry Jen,Committer,
herrick,Andy Herrick,Reviewer,
heun,Hyunsu Eun,Author,
hkabutz,Heinz Kabutz,Author,
hlin,Henry Lin,Author,
honkar,Harshitha Onkar,Reviewer,
horii,Hiroshi Horii,Author,
hschreiber,Hendrik Schreiber,Author,
hseigel,Harold Seigel,Reviewer,amber: Committer
huntch,Charlie Hunt,Author,
iaberg,Ingemar Aberg,Author,
igerasim,Ivan Gerasimov,Reviewer,
igavrilin,Ilya Gavrilin,Author,
ihse,Magnus Ihse Bursie,Reviewer,"build: Member, ide-support: Member"
iignatyev,Igor Ignatyev,Reviewer,"code-tools: Committer, guide: Author, hotspot: Member"
iklam,Ioi Lam,Reviewer,hotspot: Member
imyers,Ian Myers,Author,
inakonechnyy,Ilarion Nakonechnyy,Committer,
iris,Iris Clark,Reviewer,"code-tools: Reviewer, compiler: Member, conformance: Member, core-libs: Member, guide: Reviewer"
isipka,Ivan Sipka,Author,
itakiguchi,Ichiroh Takiguchi,Committer,
iveresov,Igor Veresov,Reviewer,"galahad: Committer, graal: Committer, hotspot: Member"
iwalulya,Ivan Walulya,Reviewer,hotspot: Member
jakvanek,Jakub Vanek,Author,
jbachorik,Jaroslav Bachorik,Reviewer,
jbechberger,Johannes Bechberger,Committer,
jbhateja,Jatin Bhateja,Reviewer,
jcao,Joshua Cao,Author,
jcbeyler,Jean Christophe Beyler,Reviewer,
jchen,Johnny Chen,Committer,
jcivlin,Jan Civlin,Author,
jcm,Jamsheed Mohammed C M,Committer,
jcoomes,John Coomes,Reviewer,"hotspot: Member, vulnerability: Member"
jdowland,Jonathan Dowland,Committer,
jdv,Jayathirth D V,Reviewer,client-libs: Member
jfranck,Joel Borggren-Franck,Reviewer,compiler: Member
jgeorge,Jini George,Reviewer,
jgodinez,Jennifer Godinez,Reviewer,
jgraham,Johannes Graham,Author,
jhungwse,Jeannette Hung,Author,
jhuttana,Jayashree Huttanagoudar,Author,
jiahuang,Jia Huang,Author,
jiangli,Jiangli Zhou,Reviewer,hotspot: Member
jianyesun,Sun Jianye,Author,
jiefu,Jie Fu,Reviewer,
jjg,Jonathan Gibbons,Reviewer,"code-tools: Reviewer, compiler: Member, conformance: Member, ide-support: Member"
jjiang,John Jiang,Reviewer,
jjoo,Jonathan Joo,Author,
jkang,Jie Kang,Committer,
jkuhn,Johannes Kuhn,Author,
jlahoda,Jan Lahoda,Reviewer,"amber: Committer, code-tools: Lead, detroit: Committer, ide-support: Member"
jlamperth,Jonathan Laszlo Lamperth,Author,
jlaskey,Jim Laskey,Reviewer,"amber: Committer, detroit: Committer"
jlu,Justin Lu,Reviewer,i18n: Member
jmanson,Jeremy Manson,Author,
jmasa,Jon Masamitsu,Reviewer,hotspot: Member
jmelvin,James Melvin,Committer,hotspot: Member
jnibedita,Nibedita Jena,Committer,
jnimeh,Jamil Nimeh,Reviewer,security: Member
joehw,Joe Wang,Reviewer,core-libs: Member
jonghoonpark,Jonghoon Park,Author,
jpai,Jaikiran Pai,Reviewer,"brisbane: Reviewer, code-tools: Reviewer, detroit: Committer, net: Member"
jprovino,Joseph Provino,Committer,
jqzuo,Qi Zuo,Committer,
jrose,John R Rose,Reviewer,"amber: Reviewer, compiler: Member, galahad: Committer, hotspot: Member"
jshivayogi,Peeyusha Shivayogi(Jenny),Author,
jsingh,Jagjot Singh,Author,
jsikstro,Joel Sikstrom,Reviewer,
jsjolen,Johan Sjolen,Reviewer,hotspot: Member
jtatton,Jason Tatton,Author,
jtian,Jing Tian,Author,
juh,Jason Uh,Committer,security: Member
jvernee,Jorn Vernee,Reviewer,"brisbane: Reviewer, code-tools: Reviewer, detroit: Committer, galahad: Committer"
jwha,Jungwoo Ha,Author,
jwilhelm,Jesper Wilhelmsson,Reviewer,"hotspot: Member, vulnerability: Member"
jwood,Jeremy Wood,Author,
jwtang,Jiawei Tang,Author,
jzhu,Joshua Zhu,Author,
jziviani,Jose Ricardo Ziviani,Author,
kabhishek,Kumar Abhishek,Author,
kamg,Keith McGuigan,Reviewer,"hotspot: Member, serviceability: Member"
katleman,David Katleman,Reviewer,build: Member
kbarrett,Kim Barrett,Reviewer,hotspot: Member
kboulanouare,Khalid Boulanouare,Author,
