username,full_name,jdk_role,other_projects
tr,Tejesh R,Reviewer,
trebari,Tejpal Rebari,Committer,
tschatzl,Thomas Schatzl,Reviewer,hotspot: Member
tsteele,Tyler Steele,Committer,
tvaleev,Tagir F. Valeev,Committer,
tvoniadka,Thejasvi Voniadka,Author,
tweidmann,Theo Weidmann,Author,
twisti,Christian Thalinger,Reviewer,hotspot: Member
tyan,Tristan Yan,Committer,
uschindler,Uwe Schindler,Author,
uta,Alexey Utkin,Committer,
uvangapally,Ujwal Vangapally,Committer,
vadim,Vadim Pakhnushev,Reviewer,
vaivanov,Vladimir Ivanov,Author,
valeriep,Valerie Peng,Reviewer,security: Member
van,Vivi An,Author,
varadam,Varada M,Committer,
vbp,Vanitha B P,Author,
vdeshpande,Vivek Deshpande,Committer,
vdyakov,Victor Dyakov,Author,
vinnie,Vinnie Ryan,Reviewer,security: Member
vkempik,Vladimir Kempik,Committer,
vklang,Viktor Klang,Reviewer,core-libs: Member
vlivanov,Vladimir Ivanov,Reviewer,"galahad: Committer, hotspot: Member"
vpetko,Vladimir Petko,Author,
vpaprotski,Volodymyr Paprotski,Committer,
vromero,Vicente Romero,Reviewer,"amber: Reviewer, compiler: Member"
vsharma,Vipin Sharma,Author,
vtewari,Vyom Tewari,Committer,
vyazici,Volkan Yazici,Reviewer,
wangxue,Wang Xue,Author,
wanghaomin,Wang Haomin,Author,
wchao,Wang Chao,Author,
weijun,Weijun Wang,Reviewer,"brisbane: Committer, security: Member"
wenanjian,Anjian Wen,Committer,
wetmore,Bradford Wetmore,Reviewer,security: Member
whuang,Wang Huang,Author,
winterhalter,Rafael Winterhalter,Author,
wkemper,William Kemper,Reviewer,
wkudla,Wojciech Kudla,Author,
wmdietl,Werner Dietl,Author,
wuyan,Wu Yan,Author,
wxiao,Weibing Xiao,Author,
xgong,Xiaohong Gong,Committer,
xhe,Xuejin He,Author,
xiaofeya,Felix Yang,Committer,
xliu,Xin Liu,Committer,
xpeng,Xiaolong Peng,Committer,
xqoasis,Qing Xiao,Author,
xuelei,Xue-Lei Andrew Fan,Reviewer,security: Member
xwlu,Xiaowei Lu,Author,
xyin,Chris Yin,Committer,
yadongwang,Yadong Wang,Committer,
yan,Yuri Nesterenko,Reviewer,
yeren,Yagmur Eren,Author,
yftsai,Yi-Fan Tsai,Author,
yhuang,Yong Jeffrey Huang,Committer,i18n: Member
ykantser,Katja Kantserova,Committer,
ykubota,KUBOTA Yuji,Author,
ylu,Yingqi Lu,Author,
yongzhou,Yong Zhou,Author,
yrodiere,Yoann Rodiere,Author,
ysr,Y. Srinivas Ramakrishna,Reviewer,"hotspot: Member, vulnerability: Member"
ysato,Yuta Sato,Author,
ysuenaga,Yasumasa Suenaga,Reviewer,
yyang,Yi Yang,Committer,
yzhang,Yang Zhang,Author,
yzheng,Yudi Zheng,Committer,
yzhou,Daisy Zhou,Author,
yzhu,Yanhong Zhu,Author,
zcai,Zixian Cai,Author,
zgu,Zhengyu Gu,Reviewer,jdk-updates: Reviewer
zlin,Zihao Lin,Author,
zmajo,Zoltan Majo,Reviewer,hotspot: Member
zmiao,Zhuojun Miao,Author,
zxie,Zhaokun Xie,Author,
zyao,Zhongwei Yao,Author,
zzambers,Zdenek Zambersky,Author,
